,average,,,,,,
5300,1.05E-04,9.53E-05,0.0001024489796,9.53E-05,0.0001134693878,9.55E-05,0.0001285714
5200,0.0001036054435,0.0001002040816,9.96E-05,9.41E-05,0.0001153061224,9.35E-05,0.0001189796
5100,0.0001239795949,0.0001208163265,0.0001348979592,0.0001112244898,0.000123877551,0.0001128571429,0.0001402041
5000,0.000132891152,0.0001244897959,0.0001485714286,0.0001059183673,0.0001483673469,0.0001191836735,0.0001508163
4900,0.0001239115629,0.0001251020408,0.0001244897959,0.0001142857143,0.0001273469388,0.0001134693878,0.0001387755
4800,0.000120782317,0.0001167346939,0.0001283673469,0.0001089795918,0.0001236734694,0.00011,0.0001369388
4700,0.0001288775551,0.000123877551,0.0001353061224,0.0001163265306,0.0001326530612,0.0001181632653,0.0001469388
4600,0.0001018707429,0.0001014285714,0.0001065306122,9.41E-05,0.0001010204082,9.41E-05,0.0001140816
4500,9.36E-05,9.22E-05,9.96E-05,8.55E-05,9.76E-05,9.16E-05,9.53E-05
4400,9.62E-05,8.96E-05,0.0001102040816,8.37E-05,9.55E-05,8.39E-05,0.0001142857
4300,0.0001271088395,0.0001212244898,0.0001357142857,0.0001136734694,0.0001367346939,0.000112244898,0.0001430612
4200,9.92E-05,9.43E-05,0.0001012244898,8.71E-05,0.0001089795918,8.98E-05,0.0001136735
4100,8.44E-05,8.43E-05,8.27E-05,8.14E-05,8.29E-05,7.92E-05,9.59E-05
4000,7.78E-05,7.37E-05,7.78E-05,7.27E-05,7.59E-05,7.06E-05,9.61E-05
3900,7.56E-05,7.39E-05,7.27E-05,6.73E-05,8.04E-05,7.00E-05,8.92E-05
3800,6.91E-05,6.84E-05,7.06E-05,6.57E-05,7.37E-05,6.55E-05,7.10E-05
3700,7.03E-05,6.98E-05,6.90E-05,6.43E-05,7.20E-05,6.24E-05,8.45E-05
3600,6.93E-05,6.04E-05,7.96E-05,5.88E-05,6.82E-05,6.33E-05,8.55E-05
3500,6.57E-05,6.53E-05,6.73E-05,5.55E-05,6.94E-05,5.76E-05,7.94E-05
3400,6.30E-05,6.10E-05,6.31E-05,5.86E-05,6.41E-05,5.59E-05,0.000075102
3300,6.16E-05,5.47E-05,6.41E-05,5.29E-05,6.76E-05,5.67E-05,7.39E-05
3200,5.57E-05,5.27E-05,5.65E-05,4.84E-05,5.69E-05,5.00E-05,6.96E-05
3100,5.36E-05,5.29E-05,5.51E-05,4.84E-05,5.24E-05,4.59E-05,6.69E-05
3000,5.31E-05,5.08E-05,5.22E-05,4.63E-05,5.73E-05,4.57E-05,6.63E-05
2900,5.00E-05,5.00E-05,4.84E-05,4.59E-05,5.73E-05,4.53E-05,5.33E-05
2800,4.85E-05,4.71E-05,5.31E-05,4.49E-05,5.16E-05,4.51E-05,4.90E-05
2700,4.90E-05,4.59E-05,4.80E-05,4.22E-05,5.67E-05,4.02E-05,6.12E-05
2600,4.60E-05,4.33E-05,4.69E-05,4.16E-05,5.69E-05,4.12E-05,4.57E-05
2500,5.56E-05,5.35E-05,5.73E-05,5.00E-05,6.06E-05,5.04E-05,6.16E-05
2400,5.24E-05,4.78E-05,4.94E-05,4.67E-05,5.71E-05,4.80E-05,6.57E-05
2300,4.63E-05,4.63E-05,4.71E-05,4.16E-05,4.53E-05,4.29E-05,5.43E-05
2200,4.24E-05,3.92E-05,4.20E-05,4.02E-05,4.82E-05,3.53E-05,4.98E-05
2100,4.21E-05,3.88E-05,4.10E-05,3.67E-05,4.61E-05,3.65E-05,5.35E-05
2000,3.39E-05,3.33E-05,3.53E-05,2.94E-05,3.29E-05,3.12E-05,4.14E-05
1900,2.98E-05,3.04E-05,2.98E-05,2.80E-05,3.06E-05,2.57E-05,3.43E-05
1800,2.96E-05,2.86E-05,3.06E-05,2.63E-05,3.61E-05,2.55E-05,3.04E-05
1700,2.71E-05,2.78E-05,2.76E-05,2.45E-05,2.69E-05,2.41E-05,3.18E-05
1600,2.36E-05,2.39E-05,2.49E-05,2.24E-05,2.49E-05,2.24E-05,2.29E-05
1500,2.33E-05,2.24E-05,2.29E-05,1.98E-05,2.24E-05,2.20E-05,0.00003
1400,2.15E-05,2.16E-05,2.08E-05,2.00E-05,2.22E-05,1.88E-05,2.57E-05
1300,2.04E-05,1.92E-05,1.84E-05,1.86E-05,2.43E-05,1.88E-05,2.35E-05
1200,2.14E-05,2.16E-05,2.18E-05,1.82E-05,2.33E-05,2.00E-05,2.35E-05
1100,1.82E-05,1.65E-05,1.78E-05,1.49E-05,2.20E-05,1.67E-05,2.14E-05
1000,1.52E-05,1.55E-05,1.39E-05,1.65E-05,1.43E-05,1.35E-05,1.73E-05
900,1.21E-05,1.20E-05,1.24E-05,1.14E-05,1.16E-05,1.12E-05,1.37E-05
800,1.04E-05,1.10E-05,1.02E-05,1.00E-05,1.04E-05,8.37E-06,0.000012449
700,9.25E-06,8.78E-06,8.57E-06,8.37E-06,1.00E-05,8.37E-06,1.14E-05
600,9.63E-06,1.02E-05,8.57E-06,1.04E-05,9.59E-06,7.14E-06,1.18E-05
500,5.88E-06,5.92E-06,6.12E-06,5.10E-06,6.53E-06,5.10E-06,6.53E-06
400,4.46E-06,4.29E-06,4.08E-06,4.49E-06,5.31E-06,3.47E-06,0.000005102
300,3.98E-06,3.47E-06,3.88E-06,3.88E-06,4.69E-06,3.67E-06,4.29E-06
200,2.07E-06,2.04E-06,2.24E-06,2.45E-06,1.84E-06,1.84E-06,2.04E-06
100,8.16E-07,1.02E-06,8.16E-07,8.16E-07,8.16E-07,8.16E-07,6.12E-07
