,average,,,,,
6000,0.006403795918,0.006446938776,0.006325102041,0.006456938776,0.006319795918,0.006470204082
5900,0.006180979592,0.006236734694,0.006120204082,0.006176122449,0.006111632653,0.006260204082
5800,0.005988897959,0.006028367347,0.005914897959,0.006044897959,0.005908163265,0.006048163265
5700,0.00578522449,0.00582244898,0.005711632653,0.005840204082,0.00570755102,0.005844285714
5600,0.005577306122,0.005622653061,0.005519591837,0.005588979592,0.005512040816,0.005643265306
5500,0.00537877551,0.005424693878,0.005320408163,0.005390408163,0.005314693878,0.005443673469
5400,0.005195142857,0.005230816327,0.005128571429,0.005239183673,0.00512755102,0.005249591837
5300,0.005007306122,0.00503877551,0.004941632653,0.005055102041,0.004942857143,0.005058163265
5200,0.004817020408,0.004852244898,0.004755918367,0.004849591837,0.004755510204,0.004871836735
5100,0.004638,0.004668367347,0.004578367347,0.004678367347,0.004577959184,0.004686938776
5000,0.004456897959,0.004488571429,0.004400204082,0.004485918367,0.004403061224,0.004506734694
4900,0.004280489796,0.004314693878,0.004226938776,0.004302653061,0.004228979592,0.004329183673
4800,0.004111387755,0.004139795918,0.004057346939,0.004146734694,0.004056938776,0.004156122449
4700,0.003943142857,0.003971020408,0.00389244898,0.003973265306,0.003893469388,0.003985510204
4600,0.003776040816,0.003806938776,0.003728367347,0.003785510204,0.00372755102,0.003831836735
4500,0.003633061224,0.003643877551,0.003570408163,0.003653265306,0.003578367347,0.003719387755
4400,0.003460938776,0.003484489796,0.003415102041,0.003492244898,0.003415510204,0.003497346939
4300,0.003301020408,0.003329591837,0.003262653061,0.003310612245,0.003260612245,0.003341632653
4200,0.003154326531,0.003179591837,0.003113061224,0.003178163265,0.003112040816,0.00318877551
4100,0.003008367347,0.003030612245,0.002969183673,0.003037142857,0.002965102041,0.003039795918
4000,0.002863591837,0.002887346939,0.002826938776,0.002883469388,0.002823877551,0.002896326531
3900,0.002728244898,0.002745714286,0.00268877551,0.002764897959,0.002687142857,0.002754693878
3800,0.002588122449,0.00260877551,0.002554285714,0.00260877551,0.002552244898,0.002616530612
3700,0.00245,0.002473061224,0.002424081633,0.002451428571,0.002420816327,0.002480612245
3600,0.002321591837,0.002344081633,0.00229244898,0.002322244898,0.002293061224,0.002356122449
3500,0.002203795918,0.002216122449,0.002169795918,0.002243265306,0.00216755102,0.002222244898
3400,0.002073755102,0.002093061224,0.002048979592,0.002079387755,0.00204755102,0.002099795918
3300,0.001959020408,0.001973265306,0.001932244898,0.00198122449,0.00193,0.001978367347
3200,0.001842244898,0.001857755102,0.001815918367,0.001859795918,0.001815918367,0.001861836735
3100,0.001728653061,0.001744081633,0.001706326531,0.001737142857,0.001706734694,0.001748979592
3000,0.001625632653,0.001635102041,0.00159877551,0.001655306122,0.0016,0.001638979592
2900,0.001520163265,0.00152877551,0.001494897959,0.001547346939,0.001496734694,0.001533061224
2800,0.00141877551,0.001427346939,0.001394489796,0.001446122449,0.001395306122,0.001430612245
2700,0.001314,0.001328163265,0.001299387755,0.00131122449,0.001299591837,0.001331632653
2600,0.001220408163,0.001234081633,0.001205918367,0.00122,0.001205714286,0.001236326531
2500,0.001130571429,0.001141632653,0.001115714286,0.001135714286,0.001115714286,0.001144081633
2400,0.001041959184,0.001054285714,0.001030408163,0.00104,0.001028979592,0.001056122449
2300,0.0009590204082,0.0009691836735,0.000946122449,0.0009620408163,0.0009469387755,0.0009708163265
2200,0.0008811020408,0.0008883673469,0.0008685714286,0.00089,0.0008679591837,0.0008906122449
2100,0.0008133469388,0.0008604081633,0.0007920408163,0.0008106122449,0.0007918367347,0.0008118367347
2000,0.0007300408163,0.0007373469388,0.0007193877551,0.000736122449,0.0007191836735,0.0007381632653
1900,0.0006608163265,0.0006675510204,0.0006504081633,0.0006687755102,0.00065,0.0006673469388
1800,0.0005944489796,0.0006002040816,0.0005846938776,0.000602244898,0.0005844897959,0.0006006122449
1700,0.0005310204082,0.0005365306122,0.0005234693878,0.0005351020408,0.0005228571429,0.0005371428571
1600,0.0004731428571,0.0004773469388,0.0004648979592,0.0004797959184,0.000466122449,0.0004775510204
1500,0.0004252653061,0.0004208163265,0.0004093877551,0.000466122449,0.0004093877551,0.0004206122449
1400,0.0003672244898,0.0003679591837,0.0003581632653,0.0003836734694,0.0003585714286,0.000367755102
1300,0.0003159183673,0.0003191836735,0.0003097959184,0.0003208163265,0.0003104081633,0.0003193877551
1200,0.00027,0.0002732653061,0.0002653061224,0.0002736734694,0.0002651020408,0.0002726530612
1100,0.0002291836735,0.0002316326531,0.0002244897959,0.000233877551,0.0002242857143,0.0002316326531
1000,0.00019,0.0001920408163,0.0001863265306,0.0001928571429,0.0001867346939,0.0001920408163
900,0.0001553469388,0.0001575510204,0.0001524489796,0.0001575510204,0.0001524489796,0.0001567346939
800,0.000124,0.0001257142857,0.0001216326531,0.0001263265306,0.0001212244898,0.0001251020408
700,9.63E-05,9.80E-05,9.41E-05,9.78E-05,9.43E-05,9.73E-05
600,7.18E-05,7.31E-05,7.00E-05,7.31E-05,7.02E-05,7.27E-05
500,5.09E-05,5.18E-05,4.96E-05,5.22E-05,4.96E-05,5.12E-05
400,3.37E-05,3.45E-05,3.29E-05,3.43E-05,3.27E-05,3.41E-05
300,2.00E-05,2.04E-05,1.94E-05,2.08E-05,1.94E-05,2.02E-05
200,9.63E-06,9.80E-06,9.18E-06,9.80E-06,9.59E-06,9.80E-06
100,2.90E-06,2.86E-06,2.86E-06,3.06E-06,2.65E-06,3.06E-06
