,average,,,,,,,,,
8300,0.009556556122,0.01070387755,0.01070346939,,0.009592040816,0.01071,0.006673877551,0.01070714286,0.006696530612,0.0106655102
8200,0.009320892855,0.01044020408,0.01044244898,,0.009353877551,0.01044693878,0.006505102041,0.01044693878,0.006519591837,0.0104120408
8100,0.009083775507,0.01018204082,0.01018040816,,0.009126326531,0.01017530612,0.006319387755,0.01018469388,0.006348979592,0.0101530612
8000,0.008871989799,0.009924897959,0.009925510204,,0.008904285714,0.009931632653,0.006230612245,0.009926938776,0.006217346939,0.0099146939
7900,0.008660841836,0.009681020408,0.009683469388,,0.008685306122,0.009685510204,0.006083265306,0.009682244898,0.006108163265,0.0096777551
7800,0.008431198974,0.00944244898,0.009440612245,,0.008486938776,0.009446122449,0.005877142857,0.009448979592,0.005894489796,0.0094128571
7700,0.008220433676,0.009191428571,0.009193877551,,0.008248979592,0.00919244898,0.005755102041,0.009195102041,0.005824081633,0.009162449
7600,0.008007678572,0.008957346939,0.008959387755,,0.008040612245,0.008963265306,0.005620612245,0.008965102041,0.005620612245,0.0089344898
7500,0.007792295919,0.008720204082,0.008719183673,,0.007829591837,0.008724285714,0.005439387755,0.008721428571,0.005489795918,0.0086944898
7400,0.007588086731,0.00849244898,0.008496734694,,0.007631632653,0.008494897959,0.005300408163,0.008494897959,0.005329591837,0.0084640816
7300,0.007391020408,0.008269591837,0.008263673469,,0.007420612245,0.008269591837,0.005198367347,0.008259591837,0.005196734694,0.00825
7200,0.007177959188,0.008038571429,0.008040204082,,0.007221428571,0.008043265306,0.005044897959,0.00803877551,0.004988367347,0.0080081633
7100,0.007082925173,0.00781755102,0.00782,0.007820204082,0.007023061224,0.007826326531,0.004879183673,0.007818367347,0.004920204082,0.0078214286
7000,0.006880408163,0.007602653061,0.007598571429,0.007602653061,0.006835714286,0.007602857143,0.004764693878,0.007601020408,0.004743265306,0.0075722449
